ID,occurrenceID,catalogNumber,otherCatalogNumbers,NEON_ID,Absorbance,Slope ,Intercept,ppm_P_root,mg P_g_root,percent_P_root,percent_C_root,percent_N_root,CN_root,13C_root,15N_root,plotID,decimalLatitude,decimalLongitude
130,NEON02F9U,NEON02F9U,NEON sampleCode (barcode): A00000101328; NEON sampleID: BBC.BONA076947.20190826.2-10.POOL.AR,730440,0.71966667,0.0508,0.1402,11.4068241,0.570341205,0.000570341,51.6,0.54,95.9,-28,1.8,BONA_076,65.155812,-147.502084
131,NEON02F9M,NEON02F9M,NEON sampleCode (barcode): A00000101309; NEON sampleID: BBC.BONA075953.20190805.0-1.POOL.AR,730432,1.54066667,0.0508,0.1402,28.67766323,1.433883162,0.001433883,49.43,1.39,35.7,-28.6,-1.1,BONA_075,65.158209,-147.507859
132,NEON02F9O,NEON02F9O,NEON sampleCode (barcode): A00000101313; NEON sampleID: BBC.BONA075953.20190805.2-10.POOL.AR,730434,0.91433333,0.0508,0.1402,15.2388451,0.761942255,0.000761942,49.12,0.78,63.3,-28.3,-2.6,BONA_075,65.158209,-147.507859
133,NEON02F8V,NEON02F8V,NEON sampleCode (barcode): A00000101104; NEON sampleID: BBC.BONA071109.20190903.0-1.POOL.AR,730405,1.27233333,0.0508,0.1402,22.2860892,1.11430446,0.001114304,50.12,0.88,57.1,-27.7,-1.1,BONA_071,65.154979,-147.507196
134,NEON02F8X,NEON02F8X,NEON sampleCode (barcode): A00000101108; NEON sampleID: BBC.BONA071109.20190903.2-10.POOL.AR,730407,0.67766667,0.0508,0.1402,10.5800525,0.529002625,0.000529003,51.66,0.69,74.4,-27.4,-1.5,BONA_071,65.154979,-147.507196
135,NEON02FG4,NEON02FG4,NEON sampleCode (barcode): A00000031906; NEON sampleID: BBC.PUUM044156.20190610.2-10.POOL.AR,735620,0.37933333,0.0508,0.1402,4.70734908,0.235367454,0.000235367,47.79,0.38,125.7631579,-29.5,-3.8,PUUM_044,19.552827,-155.321465
136,NEON02YUR,NEON02YUR,NEON sampleCode (barcode): A00000031886; NEON sampleID: BBC.PUUM044156.20190610.0-1.POOL.AR,735622,0.59433333,0.0508,0.1402,8.93963255,0.446981628,0.000446982,49.67,0.69,71.98550725,-29.2,-4.1,PUUM_044,19.552827,-155.321465
137,NEON02FGA,NEON02FGA,NEON sampleCode (barcode): A00000066314; NEON sampleID: BBC.PUUM040153.20190528.2-10.POOL.AR,735627,0.51366667,0.0508,0.1402,7.35170604,0.367585302,0.000367585,48.99,1.02,48.02941176,-28.2,-2.3,PUUM_040,19.552827,-155.319745
138,NEON02FGC,NEON02FGC,NEON sampleCode (barcode): A00000031919; NEON sampleID: BBC.PUUM040153.20190528.0-1.POOL.AR,735629,0.77733333,0.0508,0.1402,12.5419948,0.62709974,0.0006271,49.72,1.7,29.24705882,-28.2,-2.9,PUUM_040,19.552827,-155.319745
139,NEON02FGH,NEON02FGH,NEON sampleCode (barcode): A00000031921; NEON sampleID: BBC.PUUM036156.20190603.2-10.POOL.AR,735634,0.47,0.0508,0.1402,6.49212598,0.324606299,0.000324606,48.33,1.3,37.17692308,-28.5,-2.8,PUUM_036,19.554406,-155.323212
140,NEON02FGJ,NEON02FGJ,NEON sampleCode (barcode): A00000031931; NEON sampleID: BBC.PUUM036156.20190603.0-1.POOL.AR,735636,0.87266667,0.0508,0.1402,14.4186352,0.72093176,0.000720932,47.91,1.4,34.22142857,-28.4,-1.6,PUUM_036,19.554406,-155.323212
141,NEON02FGQ,NEON02FGQ,NEON sampleCode (barcode): A00000031939; NEON sampleID: BBC.PUUM033156.20190624.2-10.POOL.AR,735643,0.29633333,0.0508,0.1402,3.07349081,0.153674541,0.000153675,44.28,0.29,152.6896552,-28.1,-6,PUUM_033,19.551459,-155.319443
142,NEON02FGS,NEON02FGS,NEON sampleCode (barcode): A00000031937; NEON sampleID: BBC.PUUM033156.20190624.0-1.POOL.AR,735645,0.42666667,0.0508,0.1402,5.63910761,0.281955381,0.000281955,49.19,0.59,83.37288136,-29.1,-5.1,PUUM_033,19.551459,-155.319443
143,NEON02FGW,NEON02FGW,NEON sampleCode (barcode): A00000031933; NEON sampleID: BBC.PUUM031150.20190506.2-10.POOL.AR,735649,0.37466667,0.0508,0.1402,4.61548556,0.230774278,0.000230774,50.12,1.27,39.46456693,-28.8,-1.3,PUUM_031,19.553624,-155.319191
144,NEON02FGY,NEON02FGY,NEON sampleCode (barcode): A00000031944; NEON sampleID: BBC.PUUM031150.20190506.0-1.POOL.AR,735651,0.56433333,0.0508,0.1402,8.34908136,0.417454068,0.000417454,50.21,1.63,30.80368098,-28.4,-1.7,PUUM_031,19.553624,-155.319191
